crop.species,age
Sanguisorba_officinalis,46.742483
Sapindus_mukorossi,7.73828
Saussurea_costus,58.07837
Schinus_molle,17.942159
Schoenoplectus_californicus,4.123484
Sclerocarya_birrea,7.722992
Secale_cereale,14.294639
Sechium_tacaco,7.398234
Selenicereus_undatus,0.806581
Semecarpus_anacardium,NA
Sesamum_alatum,1.138109
Sesamum_indicum,5.08001
Sesamum_radiatum,3.928897
Sesbania_grandiflora,1.85666
Setaria_italica,3.9289
Setaria_macrostachya,3.109648
Setaria_parviflora,2.757861
Sida_rhombifolia,5.55234
Sinapis_alba,3.683452
Smallanthus_sonchifolius,10.12225
Solanum_aethiopicum,16.566469
Solanum_anomalum,1.344458
Solanum_betaceum,3.777627
Solanum_curtilobum,2.8269
Solanum_incanum,10.294527
Solanum_lycopersicum_Heinz_1706,13.73243
Solanum_lycopersicum_Moneymaker,2.98945
Solanum_lycopersicum_var._Cerasiforme,5.785041
Solanum_macrocarpon,3.777627
Solanum_melongena,1.33806
Solanum_quitoense,0.704408
Solanum_scabrum,3.680291
Solanum_sessiliflorum,3.129114
Solanum_tuberosum,12.514117
Solanum_viride,1.917418
Sorghum_drummondii,6.548248
Sorghum_bicolor,6.548248
Sorghum_almum,6.54825
Sphenostylis_stenocarpa,1.339391
Spinacia_oleracea,22.526041
Spondias_dulcis,12.325369
Spondias_mombin,12.325369
Spondias_pinnata,12.325369
Spondias_purpurea,12.325369
Spondias_radlkoferi,12.325369
Stachys_affinis,10.661813
Stelechocarpus_burahol,71.203432
Stenocereus_griseus,0.392269
Stenocereus_pruinosus,5.56316
Stenocereus_queretaroensis,5.563143
Stenocereus_stellatus,1.919095
Stevia_rebaudiana,0.160492
Suaeda_glauca,13.076283
Syzygium_aromaticum,25.364566
Syzygium_cumini,25.364569
Syzygium_formosum,29.64063
Syzygium_jambos,25.364566
Syzygium_malaccense,29.640643
Syzygium_samarangense,26.374814
Tacca_leontopetaloides,14.215879
Talinum_fruticosum,13.920375
Talinum_paniculatum,13.920374
Talinum_portulacifolium,13.920374
Talisia_esculenta,9.452724
Tamarindus_indica,46.351323
Tanacetum_vulgare,2.21189
Taraxacum_campylodes,0.518709
Terminalia_catappa,8.122025
Tetragonia_tetragonoides,3.496753
Theobroma_bicolor,7.93519
Theobroma_cacao,7.93519
Theobroma_grandiflorum,7.93519
Theobroma_microcarpum,7.93519
Thinopyrum_intermedium_subsp._intermedium,1.82767
Thymus_herba-barona,6.48315
