"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","Flowering","Lateral",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","BranchingMechanism","Continuous",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abutilon_indicum","Velvetleaf wild relative 2","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","Flowering","Lateral",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","BranchingMechanism","Continuous",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abutilon_theophrasti","Velvetleaf","Cultivated","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","Phyllotaxis","Opposite",0,0,0,1,"",""
